Variables;result
;60047,0469676768
x_plant1_pipe1_d1;353
y_plant1_pipe1_d1;1
x_plant1_pipe1_d3;0
y_plant1_pipe1_d3;0
x_plant1_pipe1_d4;0
y_plant1_pipe1_d4;0
x_plant1_pipe2_d1;0
y_plant1_pipe2_d1;1
x_plant1_pipe2_d3;0
y_plant1_pipe2_d3;0
x_plant1_pipe2_d4;0
y_plant1_pipe2_d4;0
x_plant1_pipe3_d1;0
y_plant1_pipe3_d1;1
x_plant1_pipe3_d3;0
y_plant1_pipe3_d3;0
x_plant1_pipe3_d4;0
y_plant1_pipe3_d4;0
x_plant1_pipe4_d1;113,68
y_plant1_pipe4_d1;1
x_plant1_pipe4_d3;0
y_plant1_pipe4_d3;0
x_plant1_pipe4_d4;0
y_plant1_pipe4_d4;0
x_plant1_pipe5_d1;0
y_plant1_pipe5_d1;1
x_plant1_pipe5_d3;0
y_plant1_pipe5_d3;0
x_plant1_pipe5_d4;0
y_plant1_pipe5_d4;0
x_plant1_pipe6_d1;0
y_plant1_pipe6_d1;1
x_plant1_pipe6_d3;0
y_plant1_pipe6_d3;0
x_plant1_pipe6_d4;0
y_plant1_pipe6_d4;0
x_plant1_pipe7_d1;0
y_plant1_pipe7_d1;1
x_plant1_pipe7_d3;0
y_plant1_pipe7_d3;0
x_plant1_pipe7_d4;0
y_plant1_pipe7_d4;0
x_plant1_pipe8_d1;0
y_plant1_pipe8_d1;1
x_plant1_pipe8_d3;0
y_plant1_pipe8_d3;0
x_plant1_pipe8_d4;0
y_plant1_pipe8_d4;0
x_plant1_pipe9_d1;0
y_plant1_pipe9_d1;1
x_plant1_pipe9_d3;0
y_plant1_pipe9_d3;0
x_plant1_pipe9_d4;0
y_plant1_pipe9_d4;0
x_plant1_pipe10_d1;0
y_plant1_pipe10_d1;1
x_plant1_pipe10_d3;0
y_plant1_pipe10_d3;0
x_plant1_pipe10_d4;0
y_plant1_pipe10_d4;0
x_plant1_pipe11_d1;56,7000000000003
y_plant1_pipe11_d1;1
x_plant1_pipe11_d3;0
y_plant1_pipe11_d3;0
x_plant1_pipe11_d4;0
y_plant1_pipe11_d4;0
x_plant1_pipe12_d1;0
y_plant1_pipe12_d1;1
x_plant1_pipe12_d3;0
y_plant1_pipe12_d3;0
x_plant1_pipe12_d4;0
y_plant1_pipe12_d4;0
x_plant1_pipe13_d1;0
y_plant1_pipe13_d1;1
x_plant1_pipe13_d3;0
y_plant1_pipe13_d3;0
x_plant1_pipe13_d4;0
y_plant1_pipe13_d4;0
x_plant1_pipe14_d1;0
y_plant1_pipe14_d1;1
x_plant1_pipe14_d3;0
y_plant1_pipe14_d3;0
x_plant1_pipe14_d4;0
y_plant1_pipe14_d4;0
x_plant2_pipe1_d1;0
y_plant2_pipe1_d1;1
x_plant2_pipe1_d3;0
y_plant2_pipe1_d3;0
x_plant2_pipe1_d4;0
y_plant2_pipe1_d4;0
x_plant2_pipe2_d1;211,35
y_plant2_pipe2_d1;1
x_plant2_pipe2_d3;0
y_plant2_pipe2_d3;0
x_plant2_pipe2_d4;0
y_plant2_pipe2_d4;0
x_plant2_pipe3_d1;0
y_plant2_pipe3_d1;1
x_plant2_pipe3_d3;0
y_plant2_pipe3_d3;0
x_plant2_pipe3_d4;0
y_plant2_pipe3_d4;0
x_plant2_pipe4_d1;0
y_plant2_pipe4_d1;1
x_plant2_pipe4_d3;0
y_plant2_pipe4_d3;0
x_plant2_pipe4_d4;0
y_plant2_pipe4_d4;0
x_plant2_pipe5_d1;0
y_plant2_pipe5_d1;1
x_plant2_pipe5_d3;0
y_plant2_pipe5_d3;0
x_plant2_pipe5_d4;0
y_plant2_pipe5_d4;0
x_plant2_pipe6_d1;0
y_plant2_pipe6_d1;1
x_plant2_pipe6_d3;0
y_plant2_pipe6_d3;0
x_plant2_pipe6_d4;0
y_plant2_pipe6_d4;0
x_plant2_pipe7_d1;0
y_plant2_pipe7_d1;1
x_plant2_pipe7_d3;0
y_plant2_pipe7_d3;0
x_plant2_pipe7_d4;0
y_plant2_pipe7_d4;0
x_plant2_pipe8_d1;14,6700000000001
y_plant2_pipe8_d1;1
x_plant2_pipe8_d3;0
y_plant2_pipe8_d3;0
x_plant2_pipe8_d4;0
y_plant2_pipe8_d4;0
x_plant2_pipe9_d1;0
y_plant2_pipe9_d1;1
x_plant2_pipe9_d3;0
y_plant2_pipe9_d3;0
x_plant2_pipe9_d4;0
y_plant2_pipe9_d4;0
x_plant2_pipe10_d1;297,36
y_plant2_pipe10_d1;1
x_plant2_pipe10_d3;0
y_plant2_pipe10_d3;0
x_plant2_pipe10_d4;0
y_plant2_pipe10_d4;0
x_plant2_pipe11_d1;0
y_plant2_pipe11_d1;1
x_plant2_pipe11_d3;0
y_plant2_pipe11_d3;0
x_plant2_pipe11_d4;0
y_plant2_pipe11_d4;0
x_plant2_pipe12_d1;0
y_plant2_pipe12_d1;1
x_plant2_pipe12_d3;0
y_plant2_pipe12_d3;0
x_plant2_pipe12_d4;0
y_plant2_pipe12_d4;0
x_plant2_pipe13_d1;0
y_plant2_pipe13_d1;1
x_plant2_pipe13_d3;0
y_plant2_pipe13_d3;0
x_plant2_pipe13_d4;0
y_plant2_pipe13_d4;0
x_plant2_pipe14_d1;0
y_plant2_pipe14_d1;1
x_plant2_pipe14_d3;0
y_plant2_pipe14_d3;0
x_plant2_pipe14_d4;0
y_plant2_pipe14_d4;0
x_plant3_pipe1_d1;0
y_plant3_pipe1_d1;1
x_plant3_pipe1_d3;0
y_plant3_pipe1_d3;0
x_plant3_pipe1_d4;0
y_plant3_pipe1_d4;0
x_plant3_pipe2_d1;0
y_plant3_pipe2_d1;1
x_plant3_pipe2_d3;0
y_plant3_pipe2_d3;0
x_plant3_pipe2_d4;0
y_plant3_pipe2_d4;0
x_plant3_pipe3_d1;0
y_plant3_pipe3_d1;1
x_plant3_pipe3_d3;0
y_plant3_pipe3_d3;0
x_plant3_pipe3_d4;0
y_plant3_pipe3_d4;0
x_plant3_pipe4_d1;0
y_plant3_pipe4_d1;1
x_plant3_pipe4_d3;0
y_plant3_pipe4_d3;0
x_plant3_pipe4_d4;0
y_plant3_pipe4_d4;0
x_plant3_pipe5_d1;0
y_plant3_pipe5_d1;1
x_plant3_pipe5_d3;0
y_plant3_pipe5_d3;0
x_plant3_pipe5_d4;0
